,y,x,street_count,address,name,id,highway
113,41.2909096,-72.9597007,5,"Kaplan Hall, 300 Boston Post Rd, West Haven, CT 06516, USA",Kaplan Hall,3437140667,
114,41.2909637,-72.9622791,3,"Botwinik Hall, 300 Boston Post Rd, West Haven, CT 06516, USA",Botwinik Hall,3437140670,
115,41.2909755,-72.964062,3,"424 Boston Post Rd, West Haven, CT 06516, USA",424 Boston Post Rd,3437140673,
116,41.2910028,-72.9631871,3,"300 Boston Post Rd, West Haven, CT 06516, USA",300 Boston Post Rd,3437140675,
117,41.2910815,-72.9642958,3,"424 Boston Post Rd, West Haven, CT 06516, USA",424 Boston Post Rd,3437140681,
118,41.2911383,-72.9625061,3,"Botwinik Hall, 300 Boston Post Rd, West Haven, CT 06516, USA",Botwinik Hall,3437140682,
119,41.2911967,-72.9619726,4,"Maxcy Hall, 300 Boston Post Rd, West Haven, CT 06516, USA",Maxcy Hall,3437140688,
120,41.2912288,-72.9624677,3,"300 Boston Post Rd, West Haven, CT 06516, USA",300 Boston Post Rd,3437140691,
121,41.2912414,-72.9619741,3,"Bartels Student Activity Center, 300 Boston Post Rd, West Haven, CT 06516, USA",Bartels Student Activity Center,3437140692,
122,41.2912647,-72.9624779,3,"300 Boston Post Rd, West Haven, CT 06516, USA",300 Boston Post Rd,3437140995,
123,41.2912952,-72.9613535,1,"Maxcy Hall, 300 Boston Post Rd, West Haven, CT 06516, USA",Maxcy Hall,3437140996,
124,41.2912974,-72.9612507,4,"Maxcy Hall, 300 Boston Post Rd, West Haven, CT 06516, USA",Maxcy Hall,3437140997,
125,41.2912998,-72.9643044,3,"Bergami Hall, 424 Boston Post Rd, West Haven, CT 06516, USA",Bergami Hall,3437140998,
126,41.2913389,-72.9622861,3,"300 Boston Post Rd, West Haven, CT 06516, USA",300 Boston Post Rd,3437141000,
127,41.2913617,-72.9606884,3,"Buckman Hall, 300 Boston Post Rd, West Haven, CT 06516, USA",Buckman Hall,3437141001,
128,41.2913923,-72.9623192,3,"300 Boston Post Rd, West Haven, CT 06516, USA",300 Boston Post Rd,3437141002,
129,41.2915208,-72.9624299,1,"Bayer Hall, 300 Boston Post Rd, West Haven, CT 06516, USA",Bayer Hall,3437141011,
130,41.2915302,-72.962405,3,"Bayer Hall, 300 Boston Post Rd, West Haven, CT 06516, USA",Bayer Hall,3437141012,
131,41.2915228,-72.9606926,3,"Bartels Hall, 300 Boston Post Rd, West Haven, CT 06516, USA",Bartels Hall,3437141022,
132,41.2915829,-72.9619836,5,"Bayer Hall, 300 Boston Post Rd, West Haven, CT 06516, USA",Bayer Hall,3437141028,
133,41.2916813,-72.9612698,3,"John and Leona Gehring Hall, 300 Boston Post Rd, West Haven, CT 06516, USA",John and Leona Gehring Hall,3437141035,
134,41.2917535,-72.9607469,3,"John and Leona Gehring Hall, 300 Boston Post Rd, West Haven, CT 06516, USA",John and Leona Gehring Hall,3437141036,
135,41.2917104,-72.9612901,3,"John and Leona Gehring Hall, 300 Boston Post Rd, West Haven, CT 06516, USA",John and Leona Gehring Hall,3437141041,
136,41.2917297,-72.9621035,1,"300 Boston Post Rd, West Haven, CT 06516, USA",300 Boston Post Rd,3437141042,
137,41.2917319,-72.9619944,4,"300 Boston Post Rd, West Haven, CT 06516, USA",300 Boston Post Rd,3437141043,
